epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.11135634034872055,0.0010000000474974513,6.097896575927734,0.1281774491071701,5.610733509063721
1,0.1370021402835846,0.0010000000474974513,5.730386257171631,0.1376141607761383,5.462108135223389
2,0.14147868752479553,0.0010000000474974513,5.615473747253418,0.141382098197937,5.410569667816162
3,0.14323456585407257,0.0010000000474974513,5.545599460601807,0.14387907087802887,5.347156524658203
4,0.14523163437843323,0.0010000000474974513,5.48916482925415,0.1441040188074112,5.334623336791992
5,0.14508791267871857,0.0010000000474974513,5.473184585571289,0.1465110033750534,5.331175327301025
6,0.1473136991262436,0.0010000000474974513,5.427977085113525,0.14790570735931396,5.3001708984375
7,0.1472037136554718,0.0010000000474974513,5.406976222991943,0.14421649277210236,5.301179885864258
8,0.14673881232738495,0.0010000000474974513,5.403286933898926,0.1484343409538269,5.2867021560668945
9,0.14685504138469696,0.0010000000474974513,5.38837194442749,0.14134836196899414,5.34311056137085
10,0.14812852442264557,0.0010000000474974513,5.366403579711914,0.1481306552886963,5.29166841506958
11,0.1523151397705078,0.0005000000237487257,5.276238918304443,0.15214604139328003,5.226635456085205
12,0.154043510556221,0.0005000000237487257,5.2404961585998535,0.15273091197013855,5.226568698883057
13,0.15554319322109222,0.0005000000237487257,5.221916198730469,0.155182883143425,5.212819576263428
14,0.156429260969162,0.0005000000237487257,5.203584671020508,0.15508165955543518,5.205461502075195
15,0.15670794248580933,0.0005000000237487257,5.191580295562744,0.1553853452205658,5.2090959548950195
16,0.1577652245759964,0.0005000000237487257,5.1733527183532715,0.15839970111846924,5.195040225982666
17,0.15808390080928802,0.0005000000237487257,5.162398338317871,0.15796104073524475,5.188911437988281
18,0.15942111611366272,0.0005000000237487257,5.145901679992676,0.1575898677110672,5.197512149810791
19,0.15987977385520935,0.0005000000237487257,5.134281635284424,0.1588720977306366,5.1885552406311035
20,0.1605321317911148,0.0005000000237487257,5.12270975112915,0.1572074443101883,5.209047794342041
21,0.1608458161354065,0.0005000000237487257,5.1117987632751465,0.15927700698375702,5.18845272064209
22,0.16161565482616425,0.0005000000237487257,5.100808143615723,0.15909704566001892,5.197103500366211
23,0.16172188520431519,0.0005000000237487257,5.093231201171875,0.16129031777381897,5.176394462585449
24,0.16245172917842865,0.0005000000237487257,5.079789161682129,0.1617964655160904,5.191465377807617
25,0.16249047219753265,0.0005000000237487257,5.071796894073486,0.16010932624340057,5.192080020904541
26,0.16520114243030548,0.0002500000118743628,5.024204254150391,0.16240383684635162,5.178050518035889
27,0.16591474413871765,0.0002500000118743628,5.012237548828125,0.16368605196475983,5.180237770080566
28,0.16729944944381714,0.0001250000059371814,4.984126091003418,0.16394475102424622,5.174924850463867
29,0.16743691265583038,0.0001250000059371814,4.975995063781738,0.16455212235450745,5.172606945037842
30,0.16783683001995087,0.0001250000059371814,4.970858573913574,0.16421470046043396,5.172052383422852
31,0.16815677285194397,0.0001250000059371814,4.9665632247924805,0.16467584669589996,5.170162200927734
32,0.16898533701896667,0.0001250000059371814,4.961799144744873,0.16434966027736664,5.173699855804443
33,0.168710395693779,0.0001250000059371814,4.957491397857666,0.16515949368476868,5.16982364654541
34,0.16900908946990967,0.0001250000059371814,4.953680038452148,0.16465334594249725,5.170915126800537
35,0.16926777362823486,0.0001250000059371814,4.949126243591309,0.16519322991371155,5.167649269104004
36,0.16952522099018097,0.0001250000059371814,4.944328308105469,0.16571062803268433,5.173983097076416
37,0.16936026513576508,0.0001250000059371814,4.940698623657227,0.16580060124397278,5.169779300689697
38,0.17035380005836487,6.25000029685907e-05,4.9273457527160645,0.16631798446178436,5.176692008972168
39,0.17056500911712646,6.25000029685907e-05,4.924552917480469,0.1662842482328415,5.171868801116943

epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.11135634034872055,0.0010000000474974513,6.097896575927734,0.1281774491071701,5.610733509063721
1,0.1370021402835846,0.0010000000474974513,5.730386257171631,0.1376141607761383,5.462108135223389
2,0.14147868752479553,0.0010000000474974513,5.615473747253418,0.141382098197937,5.410569667816162
3,0.14323456585407257,0.0010000000474974513,5.545599460601807,0.14387907087802887,5.347156524658203
4,0.14523163437843323,0.0010000000474974513,5.48916482925415,0.1441040188074112,5.334623336791992
5,0.14508791267871857,0.0010000000474974513,5.473184585571289,0.1465110033750534,5.331175327301025
6,0.1473136991262436,0.0010000000474974513,5.427977085113525,0.14790570735931396,5.3001708984375
7,0.1472037136554718,0.0010000000474974513,5.406976222991943,0.14421649277210236,5.301179885864258
8,0.14673881232738495,0.0010000000474974513,5.403286933898926,0.1484343409538269,5.2867021560668945
9,0.14685504138469696,0.0010000000474974513,5.38837194442749,0.14134836196899414,5.34311056137085
10,0.14812852442264557,0.0010000000474974513,5.366403579711914,0.1481306552886963,5.29166841506958
11,0.1523151397705078,0.0005000000237487257,5.276238918304443,0.15214604139328003,5.226635456085205
12,0.154043510556221,0.0005000000237487257,5.2404961585998535,0.15273091197013855,5.226568698883057
13,0.15554319322109222,0.0005000000237487257,5.221916198730469,0.155182883143425,5.212819576263428
14,0.156429260969162,0.0005000000237487257,5.203584671020508,0.15508165955543518,5.205461502075195
15,0.15670794248580933,0.0005000000237487257,5.191580295562744,0.1553853452205658,5.2090959548950195
16,0.1577652245759964,0.0005000000237487257,5.1733527183532715,0.15839970111846924,5.195040225982666
17,0.15808390080928802,0.0005000000237487257,5.162398338317871,0.15796104073524475,5.188911437988281
18,0.15942111611366272,0.0005000000237487257,5.145901679992676,0.1575898677110672,5.197512149810791
19,0.15987977385520935,0.0005000000237487257,5.134281635284424,0.1588720977306366,5.1885552406311035
20,0.1605321317911148,0.0005000000237487257,5.12270975112915,0.1572074443101883,5.209047794342041
21,0.1608458161354065,0.0005000000237487257,5.1117987632751465,0.15927700698375702,5.18845272064209
22,0.16161565482616425,0.0005000000237487257,5.100808143615723,0.15909704566001892,5.197103500366211
23,0.16172188520431519,0.0005000000237487257,5.093231201171875,0.16129031777381897,5.176394462585449
24,0.16245172917842865,0.0005000000237487257,5.079789161682129,0.1617964655160904,5.191465377807617
25,0.16249047219753265,0.0005000000237487257,5.071796894073486,0.16010932624340057,5.192080020904541
26,0.16520114243030548,0.0002500000118743628,5.024204254150391,0.16240383684635162,5.178050518035889
27,0.16591474413871765,0.0002500000118743628,5.012237548828125,0.16368605196475983,5.180237770080566
28,0.16729944944381714,0.0001250000059371814,4.984126091003418,0.16394475102424622,5.174924850463867
29,0.16743691265583038,0.0001250000059371814,4.975995063781738,0.16455212235450745,5.172606945037842
30,0.16783683001995087,0.0001250000059371814,4.970858573913574,0.16421470046043396,5.172052383422852
31,0.16815677285194397,0.0001250000059371814,4.9665632247924805,0.16467584669589996,5.170162200927734
32,0.16898533701896667,0.0001250000059371814,4.961799144744873,0.16434966027736664,5.173699855804443
33,0.168710395693779,0.0001250000059371814,4.957491397857666,0.16515949368476868,5.16982364654541
34,0.16900908946990967,0.0001250000059371814,4.953680038452148,0.16465334594249725,5.170915126800537
35,0.16926777362823486,0.0001250000059371814,4.949126243591309,0.16519322991371155,5.167649269104004
36,0.16952522099018097,0.0001250000059371814,4.944328308105469,0.16571062803268433,5.173983097076416
37,0.16936026513576508,0.0001250000059371814,4.940698623657227,0.16580060124397278,5.169779300689697
38,0.17035380005836487,6.25000029685907e-05,4.9273457527160645,0.16631798446178436,5.176692008972168
39,0.17056500911712646,6.25000029685907e-05,4.924552917480469,0.1662842482328415,5.171868801116943
